,node_index
ENSG00000167286,2600
ENSG00000167792,2601
ENSG00000168398,2602
ENSG00000171848,2603
ENSG00000173083,2604
ENSG00000176105,2605
ENSG00000177084,2606
ENSG00000177272,2607
ENSG00000178394,2608
ENSG00000180340,2609
ENSG00000180616,2610
ENSG00000183044,2611
ENSG00000183960,2612
ENSG00000184588,2613
ENSG00000184983,2614
ENSG00000186009,2615
ENSG00000186912,2616
ENSG00000187730,2617
ENSG00000196616,2618
ENSG00000198355,2619
ENSG00000198734,2620
ENSG00000198888,2621
ENSG00000204248,2622
ENSG00000226979,2623
ENSG00000233816,2624
ENSG00000243480,2625
ENSG00000258839,2626
ENSG00000007908,2627
ENSG00000010810,2628
ENSG00000027075,2629
ENSG00000059758,2630
ENSG00000060718,2631
ENSG00000065518,2632
ENSG00000070019,2633
ENSG00000070886,2634
ENSG00000072274,2635
ENSG00000075043,2636
ENSG00000082556,2637
ENSG00000091879,2638
ENSG00000091972,2639
ENSG00000094631,2640
ENSG00000100030,2641
ENSG00000101182,2642
ENSG00000102312,2643
ENSG00000102882,2644
ENSG00000104321,2645
ENSG00000104365,2646
ENSG00000104894,2647
ENSG00000105647,2648
ENSG00000108344,2649
ENSG00000110680,2650
ENSG00000111321,2651
ENSG00000115884,2652
ENSG00000116032,2653
ENSG00000116478,2654
ENSG00000118113,2655
ENSG00000118972,2656
ENSG00000119421,2657
ENSG00000120156,2658
ENSG00000120235,2659
ENSG00000120949,2660
ENSG00000123700,2661
ENSG00000125510,2662
ENSG00000125726,2663
ENSG00000127472,2664
ENSG00000128271,2665
ENSG00000129991,2666
ENSG00000131473,2667
ENSG00000132155,2668
ENSG00000132915,2669
ENSG00000133731,2670
ENSG00000135312,2671
ENSG00000137752,2672
ENSG00000138448,2673
ENSG00000138685,2674
ENSG00000140675,2675
ENSG00000142173,2676
ENSG00000144891,2677
ENSG00000145494,2678
ENSG00000147873,2679
ENSG00000148120,2680
ENSG00000148408,2681
ENSG00000149452,2682
ENSG00000150594,2683
ENSG00000152270,2684
ENSG00000154611,2685
ENSG00000157765,2686
ENSG00000158445,2687
ENSG00000160191,2688
ENSG00000160867,2689
ENSG00000162975,2690
ENSG00000163288,2691
ENSG00000164024,2692
ENSG00000164258,2693
ENSG00000164307,2694
ENSG00000164400,2695
ENSG00000166603,2696
ENSG00000167397,2697
ENSG00000167553,2698
ENSG00000167653,2699
ENSG00000169032,2700
ENSG00000169403,2701
ENSG00000170989,2702
ENSG00000171408,2703
ENSG00000174807,2704
ENSG00000182871,2705
ENSG00000183648,2706
ENSG00000184611,2707
ENSG00000185633,2708
ENSG00000186297,2709
ENSG00000188536,2710
ENSG00000203747,2711
ENSG00000204389,2712
ENSG00000205571,2713
ENSG00000220205,2714
ENSG00000258643,2715
ENSG00000278030,2716
ENSG00000002549,2717
ENSG00000007402,2718
ENSG00000010610,2719
ENSG00000015413,2720
ENSG00000021826,2721
ENSG00000023445,2722
ENSG00000026751,2723
ENSG00000044524,2724
ENSG00000064012,2725
ENSG00000065361,2726
ENSG00000087245,2727
ENSG00000087586,2728
ENSG00000095596,2729
ENSG00000101266,2730
ENSG00000101981,2731
ENSG00000102001,2732
ENSG00000102010,2733
ENSG00000102287,2734
ENSG00000105397,2735
ENSG00000105650,2736
ENSG00000105723,2737
ENSG00000106799,2738
ENSG00000107159,2739
ENSG00000108091,2740
ENSG00000108840,2741
ENSG00000109158,2742
ENSG00000111262,2743
ENSG00000111537,2744
ENSG00000117362,2745
ENSG00000122420,2746
ENSG00000125538,2747
ENSG00000127318,2748
ENSG00000129521,2749
ENSG00000130635,2750
ENSG00000132671,2751
ENSG00000132681,2752
ENSG00000133105,2753
ENSG00000134640,2754
ENSG00000135519,2755
ENSG00000136634,2756
ENSG00000136869,2757
ENSG00000137869,2758
ENSG00000138395,2759
ENSG00000140379,2760
ENSG00000142319,2761
ENSG00000143171,2762
ENSG00000145777,2763
ENSG00000146070,2764
ENSG00000147955,2765
ENSG00000151834,2766
ENSG00000152578,2767
ENSG00000157240,2768
ENSG00000158864,2769
ENSG00000160716,2770
ENSG00000163600,2771
ENSG00000164647,2772
ENSG00000164885,2773
ENSG00000167434,2774
ENSG00000168542,2775
ENSG00000169031,2776
ENSG00000169398,2777
ENSG00000171298,2778
ENSG00000181143,2779
ENSG00000182256,2780
ENSG00000183317,2781
ENSG00000186038,2782
ENSG00000186642,2783
ENSG00000188229,2784
ENSG00000188641,2785
ENSG00000188822,2786
ENSG00000196230,2787
ENSG00000196611,2788
ENSG00000196664,2789
ENSG00000196689,2790
ENSG00000197405,2791
ENSG00000215018,2792
ENSG00000274286,2793
ENSG00000001626,2794
ENSG00000025434,2795
ENSG00000037280,2796
ENSG00000080224,2797
ENSG00000088832,2798
ENSG00000097046,2799
ENSG00000100385,2800
ENSG00000100519,2801
ENSG00000104687,2802
ENSG00000104783,2803
ENSG00000104848,2804
ENSG00000105976,2805
ENSG00000108878,2806
ENSG00000112062,2807
ENSG00000113441,2808
ENSG00000113525,2809
ENSG00000127824,2810
ENSG00000130368,2811
ENSG00000132964,2812
ENSG00000137070,2813
ENSG00000137193,2814
ENSG00000137285,2815
ENSG00000137673,2816
ENSG00000138435,2817
ENSG00000138613,2818
ENSG00000139625,2819
ENSG00000140443,2820
ENSG00000141424,2821
ENSG00000143384,2822
ENSG00000147434,2823
ENSG00000151617,2824
ENSG00000151892,2825
ENSG00000160752,2826
ENSG00000166862,2827
ENSG00000171502,2828
ENSG00000182255,2829
ENSG00000184371,2830
ENSG00000185000,2831
ENSG00000187486,2832
ENSG00000188153,2833
ENSG00000188379,2834
ENSG00000196517,2835
ENSG00000197616,2836
ENSG00000198668,2837
ENSG00000205220,2838
ENSG00000236637,2839
ENSG00000239697,2840
ENSG00000244734,2841
ENSG00000004799,2842
ENSG00000026508,2843
ENSG00000026559,2844
ENSG00000048392,2845
ENSG00000065675,2846
ENSG00000073803,2847
ENSG00000074410,2848
ENSG00000074803,2849
ENSG00000077097,2850
ENSG00000077238,2851
ENSG00000084674,2852
ENSG00000089022,2853
ENSG00000091128,2854
ENSG00000101680,2855
ENSG00000104368,2856
ENSG00000105221,2857
ENSG00000105737,2858
ENSG00000105810,2859
ENSG00000106327,2860
ENSG00000106348,2861
ENSG00000106588,2862
ENSG00000110092,2863
ENSG00000111319,2864
ENSG00000112164,2865
ENSG00000113231,2866
ENSG00000114739,2867
ENSG00000116678,2868
ENSG00000120088,2869
ENSG00000120889,2870
ENSG00000125384,2871
ENSG00000125735,2872
ENSG00000126351,2873
ENSG00000126895,2874
ENSG00000130702,2875
ENSG00000130706,2876
ENSG00000131747,2877
ENSG00000135605,2878
ENSG00000136235,2879
ENSG00000138413,2880
ENSG00000139219,2881
ENSG00000140545,2882
ENSG00000142507,2883
ENSG00000142627,2884
ENSG00000143217,2885
ENSG00000145839,2886
ENSG00000151090,2887
ENSG00000157445,2888
ENSG00000159128,2889
ENSG00000159593,2890
ENSG00000161638,2891
ENSG00000163217,2892
ENSG00000163285,2893
ENSG00000163599,2894
ENSG00000163636,2895
ENSG00000163873,2896
ENSG00000164270,2897
ENSG00000167552,2898
ENSG00000167723,2899
ENSG00000169174,2900
ENSG00000171385,2901
ENSG00000171564,2902
ENSG00000172270,2903
ENSG00000172889,2904
ENSG00000175634,2905
ENSG00000180210,2906
ENSG00000185499,2907
ENSG00000185627,2908
ENSG00000186795,2909
ENSG00000188778,2910
ENSG00000196954,2911
ENSG00000198502,2912
ENSG00000198786,2913
ENSG00000198840,2914
ENSG00000204264,2915
ENSG00000206172,2916
ENSG00000206384,2917
ENSG00000211810,2918
ENSG00000227507,2919
ENSG00000241186,2920
ENSG00000257335,2921
ENSG00000258947,2922
ENSG00000267855,2923
ENSG00000003400,2924
ENSG00000005844,2925
ENSG00000008018,2926
ENSG00000023228,2927
ENSG00000023330,2928
ENSG00000043591,2929
ENSG00000051382,2930
ENSG00000062038,2931
ENSG00000066405,2932
ENSG00000081237,2933
ENSG00000084207,2934
ENSG00000094755,2935
ENSG00000096384,2936
ENSG00000096968,2937
ENSG00000100985,2938
ENSG00000102539,2939
ENSG00000105141,2940
ENSG00000106128,2941
ENSG00000108556,2942
ENSG00000109163,2943
ENSG00000110148,2944
ENSG00000110717,2945
ENSG00000111245,2946
ENSG00000115020,2947
ENSG00000116044,2948
ENSG00000117586,2949
ENSG00000118271,2950
ENSG00000118523,2951
ENSG00000119772,2952
ENSG00000125910,2953
ENSG00000129749,2954
ENSG00000130595,2955
ENSG00000130816,2956
ENSG00000135333,2957
ENSG00000140990,2958
ENSG00000142168,2959
ENSG00000142208,2960
ENSG00000142408,2961
ENSG00000142875,2962
ENSG00000144481,2963
ENSG00000145242,2964
ENSG00000145335,2965
ENSG00000153253,2966
ENSG00000154589,2967
ENSG00000154928,2968
ENSG00000160194,2969
ENSG00000160868,2970
ENSG00000160951,2971
ENSG00000163359,2972
ENSG00000166828,2973
ENSG00000168418,2974
ENSG00000169442,2975
ENSG00000170312,2976
ENSG00000171608,2977
ENSG00000171720,2978
ENSG00000175482,2979
ENSG00000182054,2980
ENSG00000182866,2981
ENSG00000187498,2982
ENSG00000188404,2983
ENSG00000196557,2984
ENSG00000197635,2985
ENSG00000204262,2986
ENSG00000204681,2987
ENSG00000240065,2988
ENSG00000240972,2989
ENSG00000259207,2990
ENSG00000004779,2991
ENSG00000007314,2992
ENSG00000013275,2993
ENSG00000013725,2994
ENSG00000041880,2995
ENSG00000048052,2996
