drug_id,disease_id,drug_idx,disease_idx
CHEMBL1000,EFO_0003956,638,8145
CHEMBL137,EFO_0004607,641,8695
CHEMBL137,EFO_0003932,641,9049
CHEMBL137,EFO_1000760,641,9075
CHEMBL2364648,Orphanet_163927,646,12649
CHEMBL289469,HP_0002018,648,6071
CHEMBL289469,EFO_0004888,648,7986
CHEMBL289469,EFO_0006911,648,9503
CHEMBL3137312,EFO_0004220,650,8253
CHEMBL916,HP_0004419,652,4859
CHEMBL108545,EFO_1000941,654,7835
CHEMBL1201129,EFO_0003811,657,6322
CHEMBL1201320,HP_0100633,658,4712
CHEMBL1201320,EFO_0007549,658,7781
CHEMBL1201320,EFO_0003898,658,8126
CHEMBL1201320,EFO_0009454,658,8133
CHEMBL1201320,EFO_0004607,658,8695
CHEMBL1241,HP_0000989,660,6199
CHEMBL2108396,HP_0004419,663,4859
CHEMBL787,HP_0006536,668,6113
CHEMBL787,EFO_0003956,668,8145
CHEMBL1538,EFO_0000180,672,6410
CHEMBL1538,EFO_0004239,672,8857
CHEMBL2063090,EFO_0004220,674,8253
CHEMBL223228,EFO_0000180,678,6410
CHEMBL32800,HP_0006536,679,6113
CHEMBL397420,HP_0004419,680,4859
CHEMBL635,HP_0001094,682,4858
CHEMBL635,HP_0012424,682,5421
CHEMBL635,EFO_0000557,682,6360
CHEMBL635,EFO_0004276,682,6920
CHEMBL635,EFO_0007168,682,7147
CHEMBL635,EFO_1000941,682,7835
CHEMBL635,EFO_1001194,682,8123
CHEMBL635,EFO_0003898,682,8126
CHEMBL635,EFO_0003956,682,8145
CHEMBL635,EFO_0004274,682,8202
CHEMBL635,EFO_0007141,682,8382
CHEMBL635,EFO_0007160,682,8454
CHEMBL635,EFO_0007520,682,8564
CHEMBL635,EFO_1000039,682,8783
CHEMBL635,EFO_0009456,682,8806
CHEMBL635,EFO_0007257,682,8859
CHEMBL635,EFO_1000694,682,9025
CHEMBL635,EFO_0007403,682,9119
CHEMBL635,EFO_1000997,682,9190
CHEMBL635,EFO_1001896,682,9210
CHEMBL635,EFO_1001051,682,9302
CHEMBL635,EFO_1001205,682,9435
CHEMBL1541,HP_0012388,690,4863
CHEMBL1541,HP_0011110,690,5849
CHEMBL2108675,HP_0000964,692,6598
CHEMBL36715,EFO_0003888,693,8694
CHEMBL3989738,EFO_1001888,694,6901
CHEMBL453,EFO_1001888,695,6901
CHEMBL455,EFO_1001888,696,6901
CHEMBL455,EFO_0003894,696,7494
CHEMBL61006,HP_0001742,698,5455
CHEMBL1303,EFO_0004270,703,9380
CHEMBL1547,HP_0001891,704,6462
CHEMBL182,EFO_1001888,706,6901
CHEMBL2108041,EFO_0008520,708,7701
CHEMBL2108041,EFO_0003929,708,9538
CHEMBL2364612,EFO_1001069,710,9043
CHEMBL271227,EFO_0000196,711,5786
CHEMBL3545123,EFO_0004220,713,8253
CHEMBL4101807,Orphanet_232,715,10875
CHEMBL413965,HP_0002829,716,6156
CHEMBL522038,HP_0004419,717,4859
CHEMBL796,EFO_0003888,720,8694
CHEMBL1201207,HP_0001742,725,5455
CHEMBL1201207,HP_0006536,725,6113
CHEMBL1201207,EFO_0009552,725,6804
CHEMBL1201207,EFO_1001888,725,6901
CHEMBL177,EFO_1001888,745,6901
CHEMBL689,EFO_1000845,752,7488
CHEMBL1161,HP_0001742,754,5455
CHEMBL1161,HP_0006536,754,6113
CHEMBL1161,EFO_0003956,754,8145
CHEMBL1200737,EFO_1000644,755,8631
CHEMBL2109065,HP_0004419,762,4859
CHEMBL2205807,MONDO_0003472,763,6186
CHEMBL4297229,EFO_0005422,768,7336
CHEMBL4297536,Orphanet_85447,769,13610
CHEMBL508102,HP_0000820,771,6545
CHEMBL1014,EFO_0003913,774,9586
CHEMBL1139,HP_0004419,777,4859
CHEMBL1187833,HP_0006536,778,6113
CHEMBL1187833,EFO_0006505,778,8441
CHEMBL4297620,EFO_0000614,784,5190
CHEMBL4297620,EFO_0003888,784,8694
CHEMBL4298110,HP_0001891,785,6462
CHEMBL715,MONDO_0002009,788,5268
CHEMBL715,HP_0000713,788,6375
CHEMBL729,EFO_0000180,789,6410
CHEMBL1042,HP_0001891,791,6462
CHEMBL1112,EFO_0003758,793,4970
CHEMBL1112,MONDO_0002009,793,5268
CHEMBL1112,EFO_0003015,793,6308
CHEMBL1112,HP_0000713,793,6375
CHEMBL1166,HP_0004419,794,4859
CHEMBL1201584,HP_0004419,799,4859
CHEMBL1201584,EFO_1000985,799,7863
CHEMBL170,EFO_0007444,800,7666
CHEMBL1752,HP_0006536,802,6113
CHEMBL2108597,HP_0001891,805,6462
CHEMBL3184512,EFO_0003894,807,7494
CHEMBL3184512,EFO_1001362,807,8581
CHEMBL3184512,EFO_1001753,807,9016
CHEMBL3184512,EFO_1001312,807,9028
CHEMBL3184512,EFO_1001084,807,9405
CHEMBL443,EFO_0007448,809,9395
CHEMBL504,HP_0002829,811,6156
CHEMBL1082,DOID_7551,813,4474
CHEMBL1082,HP_0011110,813,5849
CHEMBL1082,EFO_0004607,813,8695
CHEMBL1200686,HP_0000964,815,6598
CHEMBL1396,EFO_0003768,818,6153
CHEMBL1549,EFO_0009552,819,6804
CHEMBL1549,EFO_1001888,819,6901
CHEMBL2218896,HP_0002018,823,6071
CHEMBL2364632,EFO_0003894,824,7494
CHEMBL434,HP_0006536,827,6113
CHEMBL480,EFO_0009454,828,8133
CHEMBL639,HP_0001742,829,5455
CHEMBL639,EFO_0003956,829,8145
CHEMBL639,EFO_0007533,829,8206
CHEMBL639,EFO_0007141,829,8382
CHEMBL163,EFO_0000180,837,6410
CHEMBL163,EFO_0004220,837,8253
CHEMBL3039597,EFO_1001888,840,6901
CHEMBL34259,EFO_1001051,842,9302
CHEMBL34259,EFO_1001494,842,9448
CHEMBL807,HP_0000726,846,6059
CHEMBL1089221,HP_0002829,847,6156
CHEMBL1089221,EFO_1001888,847,6901
CHEMBL1140,EFO_0001070,848,5191
CHEMBL1140,HP_0001891,848,6462
CHEMBL1140,EFO_0003894,848,7494
CHEMBL1191,EFO_1001888,849,6901
CHEMBL1201146,HP_0008209,850,5935
CHEMBL1201146,EFO_0003894,850,7494
CHEMBL1201662,HP_0004419,851,4859
CHEMBL1201662,EFO_0003907,851,7910
CHEMBL1201825,EFO_0004683,852,7620
CHEMBL1231574,HP_0001891,853,6462
CHEMBL1231574,EFO_0003894,853,7494
CHEMBL1237026,EFO_1001348,854,9550
CHEMBL1389,HP_0000132,856,5088
CHEMBL3988900,HP_0001891,860,6462
CHEMBL498847,EFO_0003932,862,9049
CHEMBL770,HP_0002829,865,6156
CHEMBL89598,EFO_1000877,867,9378
CHEMBL1095777,HP_0006536,868,6113
CHEMBL1095777,EFO_0006505,868,8441
CHEMBL1201192,EFO_0000614,871,5190
CHEMBL1201192,EFO_0003888,871,8694
CHEMBL2048028,EFO_1000906,875,7589
CHEMBL73234,HP_0012735,881,5422
CHEMBL990,EFO_0007510,882,7063
CHEMBL1059,EFO_0005687,883,7323
CHEMBL1059,EFO_0005762,883,8112
CHEMBL1109,EFO_1001888,885,6901
CHEMBL1201199,EFO_0000196,887,5786
CHEMBL1201335,HP_0000975,888,5208
CHEMBL1201335,HP_0006536,888,6113
CHEMBL1201561,EFO_0002617,889,5382
CHEMBL1201561,EFO_0004220,889,8253
CHEMBL1201593,HP_0004419,890,4859
CHEMBL1474889,HP_0012735,892,5422
CHEMBL2105395,HP_0030016,910,5267
CHEMBL33,EFO_1001888,911,6901
CHEMBL3990048,Orphanet_584,913,12063
CHEMBL4216467,Orphanet_44890,914,10836
CHEMBL465,HP_0002018,915,6071
CHEMBL465,EFO_0006911,915,9503
CHEMBL56564,HP_0002018,916,6071
CHEMBL569713,HP_0002018,917,6071
CHEMBL569713,EFO_0004888,917,7986
CHEMBL709,EFO_0000284,919,6655
CHEMBL1220,EFO_0003932,921,9049
CHEMBL139,HP_0002829,924,6156
CHEMBL139,EFO_1001888,924,6901
CHEMBL3833373,EFO_1001471,929,7541
CHEMBL4204794,Orphanet_44890,930,10836
CHEMBL547,EFO_0003894,931,7494
CHEMBL659,HP_0000726,933,6059
CHEMBL110458,Orphanet_324,935,11938
CHEMBL1201772,HP_0004419,938,4859
CHEMBL1201772,EFO_0005672,938,8439
CHEMBL1515,HP_0000820,940,6545
CHEMBL1622,EFO_0001070,943,5191
CHEMBL1622,HP_0001891,943,6462
CHEMBL1622,EFO_0003894,943,7494
CHEMBL1789941,EFO_0002429,945,6031
CHEMBL1789941,EFO_0002430,945,6209
CHEMBL2108278,Orphanet_98896,948,13423
CHEMBL2110563,EFO_0001070,950,5191
CHEMBL2110563,HP_0001891,950,6462
CHEMBL3707372,EFO_0004220,951,8253
CHEMBL521,HP_0001643,952,5339
CHEMBL521,HP_0100607,952,5750
CHEMBL521,HP_0002829,952,6156
CHEMBL6,HP_0002829,953,6156
CHEMBL6,EFO_1001888,953,6901
CHEMBL6,EFO_0003898,953,8126
CHEMBL6,EFO_0004274,953,8202
CHEMBL603,HP_0006536,954,6113
CHEMBL1172,EFO_0003956,956,8145
CHEMBL1201236,EFO_1001402,958,9317
CHEMBL129,EFO_0000180,961,6410
CHEMBL2105741,EFO_0002617,964,5382
CHEMBL4297537,Orphanet_85447,968,13610
CHEMBL657,HP_0000989,971,6199
CHEMBL1177,EFO_0003888,973,8694
CHEMBL1229517,EFO_0002617,975,5382
CHEMBL1305,HP_0001742,977,5455
