id,name,drugType,blackBoxWarning,yearOfFirstApproval,parentId,childChemblIds,linkedDiseases.rows,hasBeenWithdrawn,linkedTargets.rows
CHEMBL1201610,CORTICOTROPIN,Protein,False,1950.0,,,"['EFO_0003086' 'EFO_0007405' 'EFO_0000401' 'DOID_13406' 'EFO_0003778'
 'MONDO_0002462' 'EFO_1000637' 'EFO_1001129' 'MONDO_0001718' 'EFO_0000474'
 'EFO_0004254' 'EFO_0002690' 'EFO_0003884' 'EFO_0004255' 'EFO_0000253'
 'EFO_0008522' 'Orphanet_797' 'EFO_0000685' 'EFO_0005761' 'EFO_0009449'
 'EFO_1000906' 'HP_0000093' 'EFO_0003821' 'EFO_0003929' 'EFO_0004236'
 'EFO_0009538' 'EFO_0000621' 'EFO_0000660' 'EFO_1001119' 'EFO_0003885'
 'EFO_1001231' 'EFO_1000986' 'EFO_0008520' 'EFO_0000398' 'EFO_0000557']",False,['ENSG00000185231']
CHEMBL1474889,CLOBUTINOL,Small molecule,False,1961.0,,['CHEMBL3183114'],,True,
CHEMBL1743068,SECUKINUMAB,Antibody,False,2015.0,,,"['EFO_1000710' 'EFO_1001494' 'EFO_0003780' 'EFO_0003778' 'EFO_0000274'
 'EFO_0000540' 'EFO_0008518' 'EFO_0002506' 'EFO_0000676' 'HP_0000999'
 'EFO_0000685' 'EFO_0005761' 'EFO_1000906' 'EFO_1001466' 'EFO_0003898'
 'EFO_0003929' 'MONDO_0019558' 'EFO_0000384' 'EFO_0003885' 'EFO_1000760'
 'EFO_1001231' 'MP_0001845' 'EFO_1001209' 'EFO_0004192' 'EFO_1000738'
 'Orphanet_2897' 'EFO_0000270' 'EFO_0001359' 'EFO_0000706' 'EFO_1001434'
 'EFO_0009856']",False,['ENSG00000112115']
CHEMBL2108200,DIMETHICONE,Unknown,False,,,,,False,
CHEMBL2108201,DEXTRANOMER,Small molecule,False,,,,,False,
CHEMBL2108535,POLYNOXYLIN,Small molecule,False,,,,,False,
CHEMBL2108730,SARILUMAB,Antibody,True,2017.0,,,"['EFO_0000694' 'EFO_0000685' 'EFO_0003898' 'MONDO_0016586' 'EFO_0000540'
 'EFO_0002609' 'EFO_0000311' 'EFO_0003106' 'EFO_1001209' 'EFO_1001231'
 'EFO_0008518' 'MONDO_0100096' 'EFO_1001361' 'EFO_0007328']",False,['ENSG00000160712']
CHEMBL2355051,CLOMIPHENE,Small molecule,False,1967.0,,['CHEMBL3185958'],"['MONDO_0002146' 'EFO_0000545' 'EFO_1001485' 'EFO_0000512' 'EFO_0000731'
 'EFO_0000279' 'EFO_0008560' 'MONDO_0002775' 'EFO_0001073' 'EFO_0000660'
 'MONDO_0018555' 'EFO_0002950']",False,['ENSG00000091831']
CHEMBL267744,TICRYNAFEN,Small molecule,False,1979.0,,,,True,
CHEMBL421,SULFASALAZINE,Small molecule,False,1950.0,,['CHEMBL3765414' 'CHEMBL2311115'],"['EFO_0000685' 'EFO_0001361' 'EFO_0004268' 'EFO_0006911' 'EFO_0003898'
 'EFO_0003778' 'EFO_0004149' 'EFO_0003102' 'MONDO_0004565' 'HP_0004798'
 'EFO_0002609' 'EFO_0000519']",False,['ENSG00000012779' 'ENSG00000073756' 'ENSG00000095303']
CHEMBL431770,ISTRADEFYLLINE,Small molecule,False,2019.0,,,['EFO_0003890' 'EFO_0002508' 'EFO_0001421'],False,['ENSG00000128271']
